,time,datetime,month,year,longitude,latitude,precipitation,PET,polygon_id
2200,1209600000000,2008-05-01,5,2008,-67.59822512999399,-0.22457882102988036,379.72067043185234,126.32499408721924,2
1673,1212278400000,2008-06-01,6,2008,-66.69990984587447,-0.6737364630896411,274.6633925884962,114.00000061307634,2
617,1212278400000,2008-06-01,6,2008,-66.69990984587447,-1.1228941051494017,307.92829233407974,117.74999856948853,2
1145,1212278400000,2008-06-01,6,2008,-67.59822512999399,-0.6737364630896411,278.09375059604645,115.5000032697405,2
4049,1212278400000,2008-06-01,6,2008,-66.25075220381471,0.22457882102988036,310.74018850922585,136.5000057220459,2
89,1212278400000,2008-06-01,6,2008,-67.59822512999399,-1.1228941051494017,338.3666814416647,113.83928775787354,2
1937,1212278400000,2008-06-01,6,2008,-66.25075220381471,-0.6737364630896411,276.4424059987068,101.99999928474426,2
2993,1212278400000,2008-06-01,6,2008,-66.25075220381471,-0.22457882102988036,273.61104533076286,121.50000572204591,2
2465,1212278400000,2008-06-01,6,2008,-67.14906748793423,-0.22457882102988036,281.714647218585,118.55356999805996,2
2729,1212278400000,2008-06-01,6,2008,-66.69990984587447,-0.22457882102988036,280.1426088809967,119.07954649491744,2
618,1214870400000,2008-07-01,7,2008,-66.69990984587447,-1.1228941051494017,325.7958646863699,140.3592363025831,2
1938,1214870400000,2008-07-01,7,2008,-66.25075220381471,-0.6737364630896411,278.6338241100311,150.10948143334224,2
2994,1214870400000,2008-07-01,7,2008,-66.25075220381471,-0.22457882102988036,260.2525930404663,149.96250295639038,2
2466,1214870400000,2008-07-01,7,2008,-67.14906748793423,-0.22457882102988036,287.7575940787792,154.03967249911764,2
1674,1214870400000,2008-07-01,7,2008,-66.69990984587447,-0.6737364630896411,315.00415152311325,139.3820663742397,2
4050,1214870400000,2008-07-01,7,2008,-66.25075220381471,0.22457882102988036,270.4063937664032,170.5,2
3786,1214870400000,2008-07-01,7,2008,-66.69990984587447,0.22457882102988036,279.5326716899872,154.61250591278076,2
1146,1214870400000,2008-07-01,7,2008,-67.59822512999399,-0.6737364630896411,334.8177210688591,149.11000118255615,2
90,1214870400000,2008-07-01,7,2008,-67.59822512999399,-1.1228941051494017,320.32204572856426,140.5614135576331,2
3522,1214870400000,2008-07-01,7,2008,-67.14906748793423,0.22457882102988036,292.24674470722675,146.86250591278076,2
1410,1214870400000,2008-07-01,7,2008,-67.14906748793423,-0.6737364630896411,331.62709368765354,155.0,2
882,1214870400000,2008-07-01,7,2008,-66.25075220381471,-1.1228941051494017,296.8687701076269,152.87797689437866,2
354,1214870400000,2008-07-01,7,2008,-67.14906748793423,-1.1228941051494017,349.79662105441093,149.64880952380952,2
