,pai,rh100,year,month,polygon_id,number,date,pai_interpolated
61,0.8344850316747724,978.5994291151285,2019,11,6,12612,11-19,0.7720455926942484
69,0.9599943311813255,1066.4831824062096,2019,12,6,18552,12-19,0.8654390324164766
77,0.8317250492925002,1015.5062790467715,2020,1,6,40452,01-20,0.9085098208261154
85,1.000623946215519,1092.0016273393003,2020,2,6,23351,02-20,0.9157542421213763
93,1.167236933393801,1072.8245209368347,2020,3,6,5636,03-20,0.9308394418145794
100,0.8581286470482405,1043.9999754510864,2020,4,6,40735,04-20,0.8616074949974573
108,0.8428238040839431,1066.5760762366474,2020,5,6,84159,05-20,0.7926434731289239
116,0.695912020437876,1013.8235698743595,2020,6,6,71235,06-20,0.7560004653885063
122,0.6896749704461167,1015.2509642356241,2020,7,6,45632,07-20,0.6503554640165081
129,0.604133436316287,978.7999302924964,2020,8,6,109027,08-20,0.6059593367786549
136,0.5527799247300285,948.7744635854959,2020,9,6,68091,09-20,0.6105254853021126
143,0.6950245522917325,1010.660222709018,2020,10,6,54780,10-20,0.7595697668303816
151,1.2240370203339235,1184.7792132461507,2020,11,6,37928,11-20,1.0132092928095633
159,1.2395718524607497,1209.725525482292,2020,12,6,41676,12-20,1.1049174497854062
167,0.8490685886821359,995.0177051499003,2021,1,6,39593,01-21,1.0724495597773573
175,1.1974219044176062,1167.6560712860753,2021,2,6,15038,02-21,0.8979363067101918
183,0.857308669732867,1021.5783105853327,2021,3,6,63229,03-21,0.9209165435451465
189,0.9111048636601411,1003.5903918179199,2021,4,6,13884,04-21,0.8640203270366078
197,0.7525228419501215,1039.2445308701992,2021,5,6,2057,05-21,0.6931217370496099
205,0.6418630755059734,917.906067364514,2021,6,6,61427,06-21,0.7497903372897123
213,0.8414850652451843,1078.5593992248062,2021,7,6,72240,07-21,0.7121936431694755
221,0.6255135673495547,963.8467847769028,2021,8,6,57912,08-21,0.6776793912382381
229,0.533106521578817,900.5824064048298,2021,9,6,60954,09-21,0.6291421013942686
236,0.9858204377079289,1077.671195812011,2021,10,6,17001,10-21,0.666458463860781
244,1.239586807984689,1180.981312380548,2021,11,6,4709,11-21,1.0217136356007148
251,0.9405927553312781,993.1683902439024,2021,12,6,5125,12-21,1.0527588293662193
259,0.983253057338573,923.3095509459768,2022,1,6,4387,01-22,0.94534548574935
267,0.9231634615003594,956.8435693077043,2022,2,6,6399,02-22,0.8916092814941857
275,0.8718346615449741,978.3931962543382,2022,3,6,30542,03-22,0.8950099497832197
283,0.9056412904616901,1059.5593053009086,2022,4,6,49633,04-22,0.9024421966023849
291,0.9273798459550172,1033.9635271056268,2022,5,6,31119,05-22,0.9153398328902014
296,2.0503886604468082,1631.095744680851,2022,6,6,94,06-22,
