,pai,rh100,year,month,polygon_id,number,datetime,date
168,0.6932777129923618,833.3694555606692,2021.0,1.0,7.0,135725,2021-01-01,01-21
176,0.6525379321730955,826.1462159000408,2021.0,2.0,7.0,46479,2021-02-01,02-21
184,0.6095586805624965,806.9312767163584,2021.0,3.0,7.0,80223,2021-03-01,03-21
190,0.5919424464107377,816.5501182602602,2021.0,4.0,7.0,3836,2021-04-01,04-21
198,0.32671627143597565,717.9398141953243,2021.0,5.0,7.0,7265,2021-05-01,05-21
206,0.36546895399224516,769.9155498629275,2021.0,6.0,7.0,93525,2021-06-01,06-21
214,0.35903326722298956,770.5377860837764,2021.0,7.0,7.0,121720,2021-07-01,07-21
222,0.35293222841026844,771.6377189730498,2021.0,8.0,7.0,8422,2021-08-01,08-21
230,0.29302429192299023,716.1488040285354,2021.0,9.0,7.0,82955,2021-09-01,09-21
237,0.35294571040066786,715.6749279489613,2021.0,10.0,7.0,3943,2021-10-01,10-21
245,0.61553365434871,781.9114159891599,2021.0,11.0,7.0,30033,2021-11-01,11-21
252,0.6325549926373214,786.4108565502287,2021.0,12.0,7.0,42776,2021-12-01,12-21
260,0.6435242317996839,784.0056414196924,2022.0,1.0,7.0,12043,2022-01-01,01-22
268,0.5934595712348228,766.440649734064,2022.0,2.0,7.0,47992,2022-02-01,02-22
275,0.5514704059053864,772.6736460002963,2022.0,3.0,7.0,27016,2022-03-01,03-22
283,0.536947298000948,776.5651428647653,2022.0,4.0,7.0,73478,2022-04-01,04-22
291,0.5415059952456551,787.0897555501,2022.0,5.0,7.0,49438,2022-05-01,05-22
297,,,2022.0,6.0,7.0,19649,2022-06-01,06-22
7,,,2019.0,4.0,8.0,1076,2019-04-01,04-19
15,1.3413275923989143,1406.8431138145636,2019.0,5.0,8.0,18040,2019-05-01,05-19
23,1.314941657548515,1390.6885722946347,2019.0,6.0,8.0,9325,2019-06-01,06-19
31,1.2291752724323117,1341.1063319078494,2019.0,7.0,8.0,22120,2019-07-01,07-19
39,1.1077497791474071,1248.887675973596,2019.0,8.0,8.0,4800,2019-08-01,08-19
47,0.9657270340097244,1147.1819908343998,2019.0,9.0,8.0,19891,2019-09-01,09-19
55,1.029058651932654,1175.608722741433,2019.0,10.0,8.0,23751,2019-10-01,10-19
63,1.1135059603504622,1218.9169061517737,2019.0,11.0,8.0,12533,2019-11-01,11-19
71,1.3640031740470073,1329.942434901302,2019.0,12.0,8.0,8256,2019-12-01,12-19
79,1.545533829745823,1409.590339369603,2020.0,1.0,8.0,17307,2020-01-01,01-20
87,1.6262679039455907,1450.4961804538386,2020.0,2.0,8.0,25738,2020-02-01,02-20
95,1.5125142046984006,1374.5623249953333,2020.0,3.0,8.0,1332,2020-03-01,03-20
102,1.4035422225370315,1339.0445037953332,2020.0,4.0,8.0,15786,2020-04-01,04-20
110,1.3792816151355782,1351.5131551645434,2020.0,5.0,8.0,18452,2020-05-01,05-20
118,1.3975957135217052,1384.9494335759275,2020.0,6.0,8.0,13956,2020-06-01,06-20
124,1.2346269765280768,1237.0471410680573,2020.0,7.0,8.0,12523,2020-07-01,07-20
131,1.2668475802956936,1242.360050093926,2020.0,8.0,8.0,27020,2020-08-01,08-20
138,1.2425180049084332,1229.8440062320176,2020.0,9.0,8.0,35516,2020-09-01,09-20
145,1.3008536736618228,1280.542490225471,2020.0,10.0,8.0,25397,2020-10-01,10-20
153,1.4611268522150833,1380.4567500574963,2020.0,11.0,8.0,3796,2020-11-01,11-20
161,1.8526660127514902,1595.491365005224,2020.0,12.0,8.0,9940,2020-12-01,12-20
169,1.8995757382890885,1635.6189411839837,2021.0,1.0,8.0,2535,2021-01-01,01-21
177,1.4450002683928416,1312.7774055335249,2021.0,2.0,8.0,3184,2021-02-01,02-21
185,1.4721712317355478,1332.5181992643531,2021.0,3.0,8.0,38159,2021-03-01,03-21
191,1.595283766575021,1411.8632208636293,2021.0,4.0,8.0,21187,2021-04-01,04-21
199,1.5088799083866593,1377.9496882872882,2021.0,5.0,8.0,50817,2021-05-01,05-21
207,1.5348116425328453,1408.139590103973,2021.0,6.0,8.0,21672,2021-06-01,06-21
215,1.1098081699188405,1207.2020952035998,2021.0,7.0,8.0,10898,2021-07-01,07-21
223,1.0437786448177024,1179.0653657350415,2021.0,8.0,8.0,39213,2021-08-01,08-21
231,0.9829460845511652,1151.7464845319405,2021.0,9.0,8.0,15688,2021-09-01,09-21
238,0.8571835017664461,1072.8436703706623,2021.0,10.0,8.0,19769,2021-10-01,10-21
246,1.220677473850628,1208.4085719951279,2021.0,11.0,8.0,2610,2021-11-01,11-21
